"Job Title","Department","2015 Earnings"
"CITY MANAGER","CITY MANAGER'S OFFICE","$258,704.94"
"DEPUTY CITY MANAGER","CITY MANAGER'S OFFICE","$174,086.45"
"CHIEF OF POLICE","OFFICE OF THE CHIEF","$169,963.75"
"CHIEF FINANCIAL OFFICER","FINANCE ADMINISTRATION","$163,179.19"
"UTILITIES EXECUTIVE DIRECTOR","UTILITIES MANAGEMENT","$160,611.55"
"ASSISTANT CITY MANAGER","CITY MANAGER'S OFFICE","$159,519.02"
"ADMINISTRATIVE FIRE CHIEF","POUDRE FIRE AUTHORITY","$159,251.23"
"ASSISTANT CITY MANAGER","CITY MANAGER'S OFFICE","$156,335.94"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$141,364.69"
"CITY ATTORNEY","CITY ATTORNEY'S OFFICE","$139,572.62"
"POLICE DEPUTY CHIEF","POLICE INFORMATION SERVICES","$136,783.77"
"POLICE ASSISTANT CHIEF","OFFICE OF THE CHIEF","$134,733.91"
"LIBRARY DIRECTOR","LIBRARY DISTRICT","$131,481.06"
"CHIEF INFORMATION OFFICER","INFORMATION TECHNOLOGY","$130,630.23"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","$128,388.34"
"SR ELECTRIC SYSTEMS OPERATOR","UT ELEC SYSTEM DESIGN & IT DIV","$127,738.81"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","$127,463.63"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","$127,334.50"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","$127,050.26"
"POLICE DEPUTY CHIEF","PATROL","$126,522.04"
"DIR OF INFRASTRUCTURE SERVICES","ENGINEERING","$126,367.77"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","$126,149.00"
"POLICE LIEUTENANT","PATROL","$126,048.18"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","$126,021.00"
"POLICE SERGEANT","PATROL","$125,274.60"
"PFA DIR OF ADMINISTRATIVE SERV","POUDRE FIRE AUTHORITY","$124,886.16"
"WATER ENG FIELD OPERATIONS MGR","UT WATER SYSTEMS ENGR DIV","$124,380.92"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","$124,373.00"
"POLICE SERGEANT","PATROL","$124,012.42"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","$123,046.38"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$122,979.33"
"DIRECTOR OF COMMUNITY SERVICES","COMMUNITY SERVICES ADMIN","$122,836.56"
"POLICE OFFICER","INVESTIGATIONS","$122,776.24"
"CAPTAIN I - 40 HR/WK","POUDRE FIRE AUTHORITY","$122,526.18"
"OPERATIONS SERVICES DIRECTOR","OPERATION SERVICES","$118,483.14"
"POLICE LIEUTENANT","PATROL","$118,309.73"
"POLICE LIEUTENANT","PATROL","$118,163.53"
"POLICE LIEUTENANT","INVESTIGATIONS","$117,998.05"
"TRAINING CAPTAIN - 40 HR/WK","POUDRE FIRE AUTHORITY","$117,726.32"
"POLICE SERGEANT","INVESTIGATIONS","$117,687.95"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","$117,453.63"
"ENVIRONMENTAL SERVICES MANAGER","UT ENVIRONMENTAL SERVICES DIV","$117,297.71"
"POLICE OFFICER","INVESTIGATIONS","$117,291.69"
"POLICE LIEUTENANT","PATROL","$117,274.61"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","$117,062.16"
"ELECTRIC SYS DESIGN AND IT MGR","UT ELEC SYSTEM DESIGN & IT DIV","$117,061.74"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","$116,291.38"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","$115,917.25"
"UTIL CUST CONNECTIONS MGR","UTILITIES CUSTOMER CONNECTIONS","$115,898.52"
"INFORMATION SECURITY ARCHITECT","INFORMATION TECHNOLOGY","$115,541.93"
"WTR RESOURCS/TREATMNT OPNS MGR","UT WATER PRODUCTION DIV","$115,395.21"
"PDT DEPUTY DIRECTOR","PDT ADMINISTRATION","$115,371.32"
"SUPERVISORY CREW CHIEF","ELECTRIC FIELD SERVICES","$115,225.61"
"POLICE LIEUTENANT","PATROL","$114,883.63"
"POLICE SERGEANT","PATROL","$114,877.78"
"EMERGENCY SERVICES COMM MGR","POLICE INFORMATION SERVICES","$114,452.56"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$114,419.33"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$114,077.11"
"SR ASSISTANT CITY ATTORNEY","CITY ATTORNEY'S OFFICE","$113,946.00"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","$113,872.25"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","$113,699.00"
"PROCESS/SYSTEMS SUPERVISOR","UT PROCESS & SUPERVIS CNTR DIV","$112,739.91"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$112,711.53"
"STANDARDS ENGINEERING MGR","UT STANDARDS ENGINEERING DIV","$112,519.01"
"DIR OF PURCHASING & RISK MGMT","PURCHASING","$111,535.48"
"WATER SYSTEMS ENG MGR","UT WATER UTILITIES ENGINEERING","$111,377.50"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$111,158.75"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","$110,693.67"
"DEPUTY CITY ATTORNEY","CITY ATTORNEY'S OFFICE","$110,472.01"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$110,451.85"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","$110,343.65"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$109,725.96"
"SR DATABASE ADMINISTRATOR","INFORMATION TECHNOLOGY","$109,444.08"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$109,288.33"
"MGR OF CAP PRJCTS/CITY ENGNEER","ENGINEERING","$109,132.51"
"TRAINING CAPTAIN - 40 HR/WK","POUDRE FIRE AUTHORITY","$109,132.28"
"TRANSFORT/DAR GENERAL MANAGER","TRANSFORT / DIAL-A-RIDE","$109,070.20"
"CHIEF ENGINEER","UT WATER SYSTEMS ENGR DIV","$108,927.14"
"SR DATABASE ADMINISTRATOR","INFORMATION TECHNOLOGY","$108,672.80"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$108,658.38"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$108,115.54"
"CITY TRAFFIC ENGINEER","TRAFFIC","$107,879.65"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$107,867.01"
"IT DIR-INFRASTRUCTURE SVS","INFORMATION TECHNOLOGY","$107,858.00"
"POLICE OFFICER","INVESTIGATIONS","$107,811.90"
"EXECUTIVE DIRECTOR DDA","DOWNTOWN DEVELOPMENT AUTHORITY","$107,764.17"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$107,507.24"
"POLICE LIEUTENANT","INVESTIGATIONS","$107,068.55"
"POLICE SERGEANT","PATROL","$106,869.00"
"POLICE SERGEANT","INVESTIGATIONS","$106,797.96"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","$106,738.07"
"ECONOMIC HEALTH DIRECTOR","ECONOMIC HEALTH OFFICE","$106,553.44"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$106,272.19"
"ENVIRONMENTAL SERVICES DIRECTR","ENVIRONMENTAL SERVICES","$106,216.54"
"POLICE LIEUTENANT","PATROL","$105,999.75"
"SR ELECTRICAL ENGINEER","UT ELECTRIC SYSTEMS ENG DIV","$105,879.12"
"POLICE SERGEANT","PATROL","$105,858.19"
"MUNICIPAL JUDGE","MUNICIPAL COURT","$105,846.57"
"POLICE OFFICER","INVESTIGATIONS","$105,842.16"
"POLICE OFFICER","INVESTIGATIONS","$105,492.71"
"POLICE SERGEANT","INVESTIGATIONS","$105,327.38"
"TRAINING CAPTAIN - 40 HR/WK","POUDRE FIRE AUTHORITY","$105,148.69"
"ASST OPERATIONS SERVICES DIR","OPERATION SERVICES","$105,036.55"
"CITY CLERK","CITY CLERK'S OFFICE","$104,988.29"
"ASST FIRE MARSHALL-NON ROTATE","POUDRE FIRE AUTHORITY","$104,914.91"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$104,872.75"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$104,450.32"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$104,344.64"
"POLICE SERGEANT","PATROL","$104,288.35"
"STREETS SUPERINTENDENT","STREETS","$103,953.02"
"NATURAL AREAS DIRECTOR","NATURAL AREAS","$103,873.31"
"POLICE SERGEANT","PATROL","$103,681.17"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","$103,456.39"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$103,187.68"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$102,916.10"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$102,734.51"
"POLICE SERGEANT","PATROL","$102,463.97"
"POLICE SERGEANT","INVESTIGATIONS","$102,155.83"
"SR NETWORK ENGINEER","INFORMATION TECHNOLOGY","$102,134.85"
"WATER RECLAM / BIOSOLIDS MGR","UT WTR RECLAMA & BIOSOLIDS DIV","$102,079.16"
"POLICE SERGEANT","INVESTIGATIONS","$101,964.71"
"APPLICATION SVCS MGR-UTILITIES","INFORMATION TECHNOLOGY","$101,485.12"
"POLICE OFFICER","PATROL","$101,466.25"
"IT DIRECTOR - APPLICATION SVCS","INFORMATION TECHNOLOGY","$101,396.50"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$101,321.07"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$101,320.29"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$101,286.54"
"SPECIAL PROJECTS ENGINEER","ENGINEERING","$100,896.83"
"FIREFIGHTER 40 HOUR (SPECIAL)","POUDRE FIRE AUTHORITY","$100,859.52"
"RECREATION DIRECTOR","RECREATION","$100,801.03"
"SR ELECTRICAL ENGINEER","L&P OPERATIONS SERVICE UNIT","$100,787.60"
"POLICE SERGEANT","PATROL","$100,677.70"
"WATER RESOURCES MANAGER","UT WATER RESOURCES DIV","$100,580.83"
"IT ANALYST","POUDRE FIRE AUTHORITY","$100,473.39"
"DIR OF PARK PLANNING & DEV","PARK PLANNING & DEVELOPMENT","$100,398.75"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$100,280.65"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$100,106.70"
"PAVEMENT MGMT PROGRAM MGR","STREETS","$100,102.22"
"STRATEGIC FINANCIAL PLNNG MGR","UTILITY FINANCIAL OPERATIONS","$99,912.78"
"ENERGY SERVICES MANAGER","UTILITIES CUSTOMER CONNECTIONS","$99,783.94"
"SR ELECTRICAL ENGINEER","UT STANDARDS ENGINEERING DIV","$99,669.12"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$99,587.59"
"POLICE OFFICER","INVESTIGATIONS","$99,517.52"
"DEVELOPMENT REVIEW MANAGER","ENGINEERING","$99,506.78"
"STREET OVERSIZING PROGRAM MGR","ENGINEERING","$99,491.78"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","$99,374.09"
"CONTROLLER","FINANCE ADMINISTRATION","$99,275.44"
"DEPUTY LIBRARY DIRECTOR","LIBRARY DISTRICT","$99,266.84"
"FIREFIGHTER 40 HOUR (SPECIAL)","POUDRE FIRE AUTHORITY","$99,254.18"
"POLICE SERGEANT","PATROL","$99,216.97"
"SR SOFTWARE ENGINEER","INFORMATION TECHNOLOGY","$98,994.41"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$98,775.69"
"CULTURAL SVCS AND FAC DIRECTOR","CULTURAL SERVICES","$98,714.10"
"SR SOFTWARE ENGINEER","INFORMATION TECHNOLOGY","$98,642.38"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$98,485.89"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$98,473.91"
"LINE EQUIPMENT CREW CHIEF","ELECTRIC FIELD SERVICES","$98,392.16"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$98,134.14"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$98,108.38"
"SR ELECTRICAL ENGINEER","L&P OPERATIONS SERVICE UNIT","$98,060.21"
"PLANNING MANAGER","COMM DEV & NEIGHBORHOOD SVCS","$98,042.28"
"SR NETWORK ENGINEER","INFORMATION TECHNOLOGY","$98,009.38"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$97,889.16"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$97,457.04"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$97,242.49"
